label,text
 UP , You’re a pretty smart cookie. 
 UP , All right! 
 UP , You are handsome. 
 UP , You’re so thoughtful. 
 UP , We colored it just right. 
 UP , The way you’re playing and helping is super. 
 UP ," You did a great job, didn’t you? "
 UP , Child: (draws a butterfly) Parent: Terrific! 
 LP , Child: (draws a butterfly) Parent: Terrific drawing! 
 LP , Child: (draws a butterfly) Parent: Terrific butterfly! 
 UP , Child: (gives parent some blocks) Parent: Thank you. 
 LP , Child: (gives parent some blocks) Parent: Thank you for sharing. 
 UP , Child: (sings “Jingle Bells”) Parent: Good. 
 LP , Child: (sings “Jingle Bells”) Parent: Good singing. 
 LP , Child: (sings “Jingle Bells”) Parent: Good song. 
 UP , Child: Excuse me. Parent: You’re polite. 
 LP , Child: Excuse me. Parent: You're polite to say “Excuse me.” 
 UP , Child: Was I supposed to put this here? Parent: It’s correct. 
 UP , Child: (makes up fairy tale) Parent: That’s creative. 
 UP , Parent: Copy this number slowly. Child: (Copies number). Parent: That was neat! 
 UP , Child: I made a circle. Parent: That’s cool! 
 UP , Dyad: (laughing) Parent: You’re fun. 
 UP , Child: (cleaning up) Parent: You’re a good helper. 
 UP , Parent: Draw it straight. Parent: Perfect! 
 UP , Child: (drawing flower) Parent: That’s good. 
 UP , Child: (makes house of cards) Parent: I’ve never seen you be so careful. 
 UP , Child: (builds another tower) Parent: It’s even nicer this time. 
 UP , Child: (hands father a block) Parent: Thank you. 
 UP , Child: I won’t do it again. Parent: I’m glad you understand. 
 UP , Child: I’m cleaning up fast! Parent: I’m happy you’re so fast. 
 UP , Child: (draws a red apple) Parent: I like that. 
 UP , Dyad: (coloring) Parent: It’s fun to play with you. 
 UP , Parent: You’re my little helper. 
 UP , Parent: What a sweetheart! 
 UP , Parent: Here comes Daddy’s little princess. 
 UP , Parent: What a big boy! 
 UP , Child: That piece fits here. Parent: You're right on top of things. 
 UP , Child: I can say the whole alphabet. Parent: Wow. 
 UP , Child: My car won. Parent: (holds out palm of hand) Give me 5! 
 UP , Child: (completes hard puzzle) Parent: That a boy! 
 UP , Child: (puts top block on tower) I did it. Parent: Right on! 
 UP , Child: (combing hair) Parent: You have splendid hair. 
 LP , Child: (tying ribbon around braid) Parent: Your hair looks splendid the way you braided it. 
 UP , Child: (moves big box of toys) Parent: You have fantastic muscles. 
 LP , Parent: You have fantastic muscles to be able to pick that up. 
 UP , Child: (putting Halloween make up on eyelids) Parent: You have cute eyes. 
 LP , Child: (putting Halloween make up on eyelids) Parent: Your eyes are cute the way you made them up for Halloween. 
 UP , Child: Let’s pretend we’re unicorns. Parent: You have a wonderful imagination. 
 LP ,Child: Let’s pretend we’re unicorns. Parent: You have a wonderful imagination when you play pretend. 
 UP , Child: We colored at school today. Parent: You're a good artist. 
 LP , Child: (coloring a picture) Parent: You're a good artist. 
 LP, Child: (putting together Tinker toy car) Parent: You're a good mechanic. 
 UP , Parent: We are doing a careful job. 
 UP , (Parent and child draw picture together) Parent: It's terrific! 
 UP , Child: You're pretty. Parent: We're both pretty. 
 LP, Parent: Thank you for giving me the green and the red.
 LP , Parent: You did a great job of taking and putting it in the toy box. 
 UP, Parent: You're being nice and such a good girl. 
 LP , Child: (drawing a house) Parent: Your windows and your door are neatly drawn. 
 UP ," Parent: That's terrific, isn't it? "
 UP ," Parent: You did that just right, didn't you? "
 UP ," Parent: I think that's beautiful, don't you? "
 UP , Parent: Do you know how much I love you? 
 UP , Child: Do you like my dress? Parent: Yes. 
 UP ," Child: I did it good, didn't I? Parent: Of course. "
 UP , Child: I made it pretty. Parent: Sure did. 
 UP , Child: My drawing is nice. Parent: It is. 
 UP ," Child: (playing teacher at chalkboard) Now class, this says 1 + 1. Parent: (playing student) Teacher, you're smart. "
 UP , Child: (pets alligator puppet) Parent: (talking as alligator puppet) Thank you. 
 UP , Child: (playing gently with toy seal) Parent: You’re being such a good seal. 
